Time, inside, outside, counter
2021-04-02 16:32:45.489152,0,1,-1
2021-04-02 16:32:45.957938,0,2,-2
2021-04-02 16:32:49.347137,0,3,-3
2021-04-02 16:32:49.817214,1,3,-2
2021-04-02 16:32:50.275915,2,3,-1
2021-04-02 16:32:54.245930,2,4,-2
2021-04-02 16:32:55.172696,2,5,-3
2021-04-02 16:32:59.172714,2,6,-4
2021-04-02 16:32:59.637908,3,6,-3
2021-04-02 16:33:00.100509,4,6,-2
2021-04-02 16:33:04.068930,4,7,-3
2021-04-02 16:33:04.533848,5,7,-2
2021-04-02 16:33:04.996517,5,8,-3
2021-04-02 16:33:05.461355,5,9,-4
2021-04-02 16:33:08.846494,5,10,-5
2021-04-02 16:33:09.310964,6,10,-4
2021-04-02 16:33:09.771601,7,10,-3
2021-04-02 16:33:13.730051,7,11,-4
2021-04-02 16:33:14.193911,7,12,-5
2021-04-02 16:33:23.975251,7,13,-6
2021-04-02 16:33:24.453301,7,14,-7
2021-04-02 16:33:24.926744,7,15,-8
