Time, inside, outside, counter
2021-04-20 11:13:29.832975,1,0,1
2021-04-20 11:13:33.273132,2,0,2
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
2021-04-20 11:34:47.964863,0,1,-1
2021-04-20 11:34:49.685103,1,1,0
Time, inside, outside, counter
2021-04-20 11:35:26.285071,0,1,-1
2021-04-20 11:35:27.226203,1,1,0
2021-04-20 11:35:29.404410,1,2,-1
2021-04-20 11:35:30.121758,2,2,0
Time, inside, outside, counter
2021-04-20 11:42:14.378152,0,1,-1
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
Time, inside, outside, counter
2021-04-20 11:56:05.126512,0,1,-1
2021-04-20 11:56:14.858374,1,0,1
2021-04-20 11:56:14.917935,1,1,0
2021-04-20 11:56:23.487048,1,1,0
2021-04-20 11:56:23.546072,1,2,-1
2021-04-20 12:00:23.060547,1,3,-2
2021-04-20 12:00:31.954518,1,4,-3
2021-04-20 12:00:50.976108,1,5,-4
2021-04-20 12:02:25.113072,1,6,-5
2021-04-20 12:02:46.434532,1,7,-6
2021-04-20 12:02:55.330637,1,8,-7
2021-04-20 12:03:26.110767,1,9,-8
2021-04-20 12:04:03.742344,1,10,-9
2021-04-20 12:04:31.914025,1,11,-10
2021-04-20 12:04:45.718854,1,12,-11
2021-04-20 12:04:54.921737,1,13,-12
2021-04-20 12:05:26.423102,1,14,-13
Time, inside, outside, counter
2021-04-20 12:06:46.432625,1,15,-14
2021-04-20 12:06:46.432496,1,2,-1
2021-04-20 12:06:46.432860,0,1,-1
Time, inside, outside, counter
2021-04-20 12:08:20.019327,1,16,-15
2021-04-20 12:08:23.865122,2,16,-14
2021-04-20 12:09:32.479621,3,16,-13
2021-04-20 12:09:32.500494,1,1,0
2021-04-20 12:09:32.748912,2,2,0
2021-04-20 12:10:00.521116,4,16,-12
Time, inside, outside, counter
2021-04-20 12:10:45.792915,1,0,1
2021-04-20 12:10:53.377140,2,0,2
2021-04-20 12:10:57.511672,1,2,-1
2021-04-20 12:11:08.170863,1,3,-2
2021-04-20 12:11:08.179493,4,17,-13
2021-04-20 12:11:08.315576,2,1,1
2021-04-20 12:11:08.317589,2,3,-1
2021-04-20 12:11:20.168129,2,4,-2
2021-04-20 12:11:20.168129,1,4,-3
2021-04-20 12:11:20.899104,5,17,-12
2021-04-20 12:11:27.285435,6,17,-11
2021-04-20 12:11:31.953640,2,5,-3
2021-04-20 12:11:31.953640,6,18,-12
2021-04-20 12:11:32.036137,1,5,-4
2021-04-20 12:11:32.036710,2,2,0
2021-04-20 12:11:44.423492,6,19,-13
2021-04-20 12:11:44.423495,2,6,-4
2021-04-20 12:11:44.424234,1,6,-5
2021-04-20 12:11:56.789339,6,20,-14
2021-04-20 12:12:07.953676,2,3,-1
2021-04-20 12:12:07.958195,2,7,-5
2021-04-20 12:12:08.037761,1,7,-6
2021-04-20 12:12:19.463472,2,4,-2
2021-04-20 12:12:19.585573,6,21,-15
2021-04-20 12:12:19.585568,2,8,-6
2021-04-20 12:12:19.585567,1,8,-7
2021-04-20 12:12:26.318727,7,21,-14
2021-04-20 12:12:26.318752,2,8,-6
2021-04-20 12:12:26.318736,3,8,-5
2021-04-20 12:12:26.319935,3,4,-1
2021-04-20 12:12:43.338736,7,22,-15
2021-04-20 12:12:43.338736,2,9,-7
2021-04-20 12:12:43.964561,3,5,-2
2021-04-20 12:12:50.189361,3,9,-6
2021-04-20 12:12:50.407081,4,8,-4
Time, inside, outside, counter
2021-04-20 12:13:07.114138,8,22,-14
2021-04-20 12:13:07.327708,0,1,-1
2021-04-20 12:13:07.350137,5,8,-3
2021-04-20 12:13:15.618642,9,22,-13
2021-04-20 12:13:16.367069,9,23,-14
2021-04-20 12:13:20.490879,0,2,-2
2021-04-20 12:13:20.518755,3,10,-7
2021-04-20 12:13:32.209688,5,9,-4
Time, inside, outside, counter
2021-04-20 12:13:38.624285,0,1,-1
2021-04-20 12:13:40.376879,6,9,-3
2021-04-20 12:13:45.339660,9,24,-15
2021-04-20 12:13:45.339384,3,11,-8
2021-04-20 12:13:45.431409,6,10,-4
2021-04-20 12:13:47.852294,10,24,-14
2021-04-20 12:13:48.367916,10,25,-15
2021-04-20 12:13:51.644420,11,25,-14
2021-04-20 12:13:56.969497,6,11,-5
2021-04-20 12:13:57.227916,4,11,-7
2021-04-20 12:14:47.138643,7,11,-4
2021-04-20 12:14:47.162771,12,25,-13
Time, inside, outside, counter
2021-04-20 12:16:58.189815,13,25,-12
2021-04-20 12:22:59.591318,7,12,-5
2021-04-20 12:31:54.283088,14,25,-11
2021-04-20 12:37:02.651512,15,25,-10
2021-04-20 12:38:47.938503,15,26,-11
2021-04-20 12:42:53.561740,4,12,-8
