Time, inside, outside, counter
2021-04-20 11:13:41.528974,1,0,1
2021-04-20 11:13:42.048552,1,1,0
Time, inside, outside, counter
Time, inside, outside, counter
2021-04-20 11:29:45.818518,1,0,1
2021-04-20 11:29:47.855706,2,0,2
2021-04-20 11:29:56.558571,2,1,1
2021-04-20 11:30:12.704471,3,1,2
Time, inside, outside, counter
2021-04-20 11:30:47.847568,0,1,-1
Time, inside, outside, counter
2021-04-20 11:31:31.846649,0,1,-1
Time, inside, outside, counter
2021-04-20 11:33:03.112270,0,1,-1
2021-04-20 11:33:05.631574,0,2,-2
2021-04-20 11:33:22.612090,0,3,-3
2021-04-20 11:33:33.053514,1,3,-2
Time, inside, outside, counter
2021-04-20 11:55:48.145299,0,1,-1
2021-04-20 11:55:57.146337,1,1,0
2021-04-20 11:58:39.828180,1,2,-1
Time, inside, outside, counter
2021-04-20 12:06:51.384459,1,0,1
Time, inside, outside, counter
2021-04-20 12:09:18.741071,1,1,0
2021-04-20 12:09:18.909270,1,0,1
2021-04-20 12:09:19.694939,1,2,-1
2021-04-20 12:09:19.772525,1,1,0
2021-04-20 12:09:23.099151,1,3,-2
2021-04-20 12:09:23.181222,1,2,-1
2021-04-20 12:09:25.393471,1,4,-3
2021-04-20 12:09:25.474120,1,3,-2
2021-04-20 12:09:29.032330,1,4,-3
2021-04-20 12:09:49.626126,1,5,-4
2021-04-20 12:09:49.627334,1,5,-4
2021-04-20 12:09:53.713204,1,6,-5
2021-04-20 12:09:53.716369,1,6,-5
2021-04-20 12:10:01.176523,1,7,-6
2021-04-20 12:10:01.210755,1,7,-6
2021-04-20 12:10:10.101918,1,8,-7
2021-04-20 12:10:18.454813,1,9,-8
2021-04-20 12:10:18.455831,1,8,-7
Time, inside, outside, counter
2021-04-20 12:14:44.600212,1,10,-9
Time, inside, outside, counter
2021-04-20 12:15:01.896873,0,1,-1
2021-04-20 12:15:07.144434,2,10,-8
2021-04-20 12:15:07.145166,1,1,0
2021-04-20 12:15:15.699234,2,1,1
2021-04-20 12:16:44.374565,2,2,0
2021-04-20 12:16:54.587806,2,11,-9
2021-04-20 12:16:54.589397,2,3,-1
2021-04-20 12:16:58.573859,2,12,-10
2021-04-20 12:17:00.206302,2,13,-11
2021-04-20 12:17:11.990739,2,14,-12
2021-04-20 12:17:12.092862,2,4,-2
2021-04-20 12:17:15.916451,3,14,-11
2021-04-20 12:17:15.936203,3,4,-1
2021-04-20 12:17:34.026298,3,15,-12
2021-04-20 12:17:34.026690,3,5,-2
2021-04-20 12:17:37.646215,4,15,-11
2021-04-20 12:17:37.647099,4,5,-1
2021-04-20 12:17:38.162314,4,16,-12
2021-04-20 12:17:41.471377,4,17,-13
2021-04-20 12:17:41.497162,4,6,-2
2021-04-20 12:17:49.514184,4,18,-14
2021-04-20 12:17:49.516389,4,7,-3
2021-04-20 12:17:57.352610,5,7,-2
2021-04-20 12:17:57.381512,4,19,-15
2021-04-20 12:20:12.634837,4,20,-16
Time, inside, outside, counter
2021-04-20 12:20:43.719749,0,1,-1
2021-04-20 12:20:43.831469,4,21,-17
2021-04-20 12:20:58.015615,5,21,-16
2021-04-20 12:20:58.016859,1,1,0
2021-04-20 12:20:58.653041,5,22,-17
2021-04-20 12:20:58.653562,1,2,-1
2021-04-20 12:20:59.846627,2,2,0
2021-04-20 12:20:59.846077,6,22,-16
2021-04-20 12:21:00.364730,2,3,-1
Time, inside, outside, counter
2021-04-20 12:23:46.582877,0,1,-1
2021-04-20 12:24:02.107525,7,22,-15
2021-04-20 13:31:37.611421,0,2,-2
2021-04-20 13:31:38.332673,1,2,-1
2021-04-20 13:31:55.802696,1,3,-2
2021-04-20 13:32:12.411377,2,3,-1
2021-04-20 13:33:20.673081,2,4,-2
2021-04-20 13:33:21.398220,3,4,-1
2021-04-20 13:33:21.917496,3,5,-2
2021-04-20 13:33:22.645366,4,5,-1
2021-04-20 13:33:23.165670,4,6,-2
2021-04-20 13:33:23.895129,5,6,-1
2021-04-20 13:33:24.653519,5,7,-2
2021-04-20 13:33:26.771779,6,7,-1
Time, inside, outside, counter
2021-04-20 13:33:57.283017,0,1,-1
2021-04-20 13:34:04.901257,0,2,-2
2021-04-20 13:34:08.739421,1,2,-1
2021-04-20 13:34:12.678046,1,3,-2
2021-04-20 13:34:21.361243,1,4,-3
2021-04-20 13:34:25.435329,2,4,-2
Time, inside, outside, counter
2021-04-20 13:35:02.331098,0,1,-1
2021-04-20 13:35:04.203026,0,2,-2
2021-04-20 13:35:05.841037,0,3,-3
2021-04-20 13:35:11.929887,0,4,-4
2021-04-20 13:35:19.373286,0,5,-5
2021-04-20 13:35:21.024967,0,6,-6
2021-04-20 13:35:22.661240,0,7,-7
