Time, inside, outside, counter
2021-04-19 14:21:48.056821,1,0,1
2021-04-19 14:21:50.591849,2,0,2
2021-04-19 14:21:57.780552,2,1,1
2021-04-19 14:22:00.683603,2,2,0
2021-04-19 14:22:02.493399,3,2,1
2021-04-19 14:22:04.594993,4,2,2
2021-04-19 14:22:06.584673,5,2,3
2021-04-19 14:22:08.575931,6,2,4
2021-04-19 14:22:10.675644,7,2,5
2021-04-19 14:22:12.768323,8,2,6
2021-04-19 14:22:14.544536,8,3,5
2021-04-19 14:22:16.792837,8,4,4
2021-04-19 14:22:21.231112,8,5,3
Time, inside, outside, counter
2021-04-19 14:23:27.670948,1,0,1
2021-04-19 14:23:30.208321,2,0,2
2021-04-19 14:23:36.193124,2,1,1
2021-04-19 14:23:38.876317,2,2,0
2021-04-19 14:23:41.341449,2,3,-1
2021-04-19 14:23:46.274576,3,3,0
Time, inside, outside, counter
2021-04-19 14:42:57.475124,1,0,1
2021-04-19 14:42:59.258612,2,0,2
2021-04-19 14:43:00.203047,2,1,1
2021-04-19 14:43:02.618573,2,2,0
2021-04-19 14:43:05.918604,2,3,-1
2021-04-19 14:43:07.400542,2,4,-2
